period,fertilizer,price
2010-05-01,TSP,352.75
2010-06-01,TSP,346.8
2010-07-01,TSP,360.0
2010-08-01,TSP,380.75
2010-09-01,TSP,428.0
2010-10-01,TSP,455.0
2010-11-01,TSP,463.75
2010-12-01,TSP,472.5
2011-01-01,TSP,475.0
2011-02-01,TSP,490.0
2011-03-01,TSP,494.0
2011-04-01,TSP,535.625
2011-05-01,TSP,547.5
2011-06-01,TSP,549.5
2011-07-01,TSP,555.0
2011-08-01,TSP,560.0
2011-09-01,TSP,560.0
2011-10-01,TSP,592.5
2011-11-01,TSP,570.0
2011-12-01,TSP,530.0
2012-01-01,TSP,435.0
2012-02-01,TSP,445.0
2012-03-01,TSP,441.25
2012-04-01,TSP,441.25
2012-05-01,TSP,485.0
2012-06-01,TSP,485.0
2012-07-01,TSP,485.0
2012-08-01,TSP,485.0
2012-09-01,TSP,485.0
2012-10-01,TSP,474.0
2012-11-01,TSP,447.5
2012-12-01,TSP,435.0
2013-01-01,TSP,428.0
2013-02-01,TSP,419.0
2013-03-01,TSP,415.0
2013-04-01,TSP,409.0
2013-05-01,TSP,410.0
2013-06-01,TSP,410.0
2013-07-01,TSP,410.0
2013-08-01,TSP,360.0
2013-09-01,TSP,344.0
2013-10-01,TSP,324.0
2013-11-01,TSP,320.0
2013-12-01,TSP,320.0
2014-01-01,TSP,333.0
2014-02-01,TSP,367.0
2014-03-01,TSP,384.0
2014-04-01,TSP,383.0
2014-05-01,TSP,385.0
2014-06-01,TSP,389.0
2014-07-01,TSP,390.0
2014-08-01,TSP,391.0
2014-09-01,TSP,398.0
2014-10-01,TSP,398.0
2014-11-01,TSP,385.0
2014-12-01,TSP,381.0
2015-01-01,TSP,381.5
2015-02-01,TSP,382.5
2015-03-01,TSP,383.0
2015-04-01,TSP,380.0
2015-05-01,TSP,380.0
2015-06-01,TSP,380.0
2015-07-01,TSP,380.0
2015-08-01,TSP,378.8
2015-09-01,TSP,379.0
2015-10-01,TSP,380.0
2015-11-01,TSP,366.4
2015-12-01,TSP,360.0
2016-01-01,TSP,334.0
2016-02-01,TSP,286.25
2016-03-01,TSP,291.25
