code,description,bec
310551,"Fertilizers, mineral or chemical: containing nitrates and phosphates",22
310559,"Fertilizers, mineral or chemical: containing the two fertilizing elements nitrogen and phosphorus, other than nitrates and phosphates",22
310560,"Fertilizers, mineral or chemical: containing the two fertilizing elements phosphorus and potassium",22
310590,"Fertilizers, mineral or chemical: n.e.c. in heading no. 3105",22
320110,Tanning extracts of vegetable origin: quebracho extract,22
320120,Tanning extracts of vegetable origin: wattle extract,22
320190,"Tanning extracts of vegetable origin: tannins and their salts, ethers, esters and other derivatives, (excluding quebracho or wattle extract)",22
320210,Tanning substances: synthetic organic tanning substances,22
320290,"Tanning substances: inorganic tanning substances: tanning preparations, whether or not containing natural tanning substances: enzymatic preparations for pre- tanning",22
320300,"Colouring matter of vegetable or animal origin, including dyeing extracts not animal black, whether or not chemically defined: preparations based on colouring matter of vegetable or animal origin",22
320411,Dyes: disperse dyes and preparations based thereon,22
320412,"Dyes: acid, whether or not premetallised and preparations based thereon, mordant dyes and preparations based thereon",22
320413,Dyes: basic dyes and preparations based thereon,22
320414,Dyes: direct dyes and preparations based thereon,22
320415,Dyes: vat dyes (including those usable in that state as pigments) and preparations based thereon,22
320416,Dyes: reactive dyes and preparations based thereon,22
320417,Dyes: pigments and preparations based thereon,22
320419,"Dyes: n.e.c., including mixtures of colouring matter of two or more of those from item no. 3204.11 to 3204.19",22
320420,Dyes: synthetic organic products of a kind used as fluorescent brightening agents,22
320490,"Dyes: synthetic organic products n.e.c. in heading no. 3204 (e.g. of a kind used as luminophores), whether or not chemically defined",22
320500,Colour lakes: preparations based on colour lakes as specified in note 3 to this chapter,22
320611,"Colouring matter: pigments and preparations based on titanium dioxide, containing 80% or more by weight of titanium dioxide calculated on the dry matter",22
320619,"Colouring matter: pigments and preparations based on titanium dioxide, containing less than 80% by weight of titanium dioxide calculated on the dry weight",22
320620,Colouring matter: pigments and preparations based on chromium compounds,22
320641,Colouring matter: ultramarine and preparations based thereon,22
320642,Colouring matter: lithopone and other pigments and preparations based on zinc sulphide,22
320649,Colouring matter: other preparations n.e.c. in item no. 3206.4,22
320650,Colouring matter: inorganic products of a kind used as luminophores,22
320710,"Pigments: prepared pigments, opacifiers, colours and similar preparations",22
320720,"Enamels and glazes: vitrifiable enamels and glazes, engobes (slips) and similar preparations",22
320730,Lustres: liquid lustres and similar preparations,22
320740,"Glass: glass frit and other glass, in the form of powder, granules or flakes",22
320810,"Paints and varnishes: based on polyesters, dispersed or dissolved in a non-aqueous medium",22
320820,"Paints and varnishes: based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium",22
320890,"Paints and varnishes: based on polymers n.e.c. in heading no. 3208, dispersed or dissolved in a non-aqueous medium",22
320910,"Paints and varnishes: based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium",22
320990,"Paints and varnishes: (based on polymers other than acrylic or vinyl), dispersed or dissolved in an aqueous medium",22
321000,"Paints and varnishes: (including enamels, lacquers and distempers), prepared water pigments of a kind used for finishing leather",22
321100,Driers: prepared,22
321210,"Pigments: of a kind used in the manufacture of paints, stamping foils",22
321290,"Pigments: of a kind used in the manufacture of paints, other than stamping foils",22
321310,"Colours: in sets, of a kind used by artists, students or signboard painters",63
321390,"Colours: (other than in sets), of a kind used by artists, students or signboard painters",63
321410,Mastics: painters' fillings,22
321490,Mastics: n.e.c. in heading no. 3214,22
321511,"Ink: for printing, black, whether or not concentrated or solid",22
321519,"Ink: for printing, other than black, whether or not concentrated or solid",22
321590,"Ink: writing, drawing and other inks, n.e.c. in heading no. 3215, whether or not concentrated or solid",22
330112,"Oils, essential: of orange (terpeneless or not), including concretes and absolutes",22
330113,"Oils, essential: of lemon (terpeneless or not), including concretes and absolutes",22
330119,"Oils, essential: of citrus fruits n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes",22
330124,"Oils, essential: of peppermint (Mentha piperita), terpeneless or not, including concretes and absolutes",22
330125,"Oils, essential: of mints (excluding peppermint), terpeneless or not, including concretes and absolutes",22
330129,"Oils, essential: n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes",22
330130,Resinoids,22
330190,"Oils, essential: concentrates in fats, fixed oils, waxes and the like, terpenic by-products, aqueous distillates and solutions, extracted oleoresins, n.e.c. in heading no. 3301",22
330210,Odoriferous substances and mixtures: of a kind used in the food or drink industries,22
330290,Odoriferous substances and mixtures: used as raw materials in industries other than the food or drink industries,22
330300,Perfumes and toilet waters,63
330410,Cosmetic and toilet preparations: lip make-up,63
330420,Cosmetic and toilet preparations: eye make-up,63
330430,Cosmetic and toilet preparations: manicure or pedicure preparations,63
330491,"Cosmetic and toilet preparations: powders, whether or not compressed (excluding lip, eye, manicure or pedicure preparations)",63
330499,"Cosmetic and toilet preparations: n.e.c. in heading no. 3304, for the care of the skin (excluding medicaments, including sunscreen or sun tan preparations)",63
330510,Hair preparations: shampoos,63
330520,Hair preparations: for permanent waving or straightening,63
330530,Hair preparations: lacquers,63
330590,Hair preparations: n.e.c. in heading no. 3305,63
330610,Oral or dental hygiene preparations: dentifrices,63
330620,Oral or dental hygiene preparations: yarn used to clean between the teeth (dental floss),63
330690,Oral or dental hygiene preparations: other than dentifrices,63
330710,"Perfumery, cosmetic or toilet preparations: pre-shave, shaving or after-shave preparations",63
330720,"Perfumery, cosmetic or toilet preparations: personal deodorants and antiperspirants",63
330730,"Perfumery, cosmetic or toilet preparations: perfumed bath salts and other bath preparations",63
330741,"Perfumes and deodorizers: perfuming or deodorizing preparations for rooms, agarbatti and other odoriferous preparations which operate by burning (including those used during religious rites)",63
330749,"Perfumes and deodorizers: perfuming or deodorizing preparations for rooms, (excluding those which operate by burning)",63
330790,Perfumes and deodorizers: perfuming or deodorizing preparations n.e.c. in heading no. 3307,63
340111,"Soap and organic surface-active products: in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, for toilet use (including medicated products)",63
340119,"Soap and organic surface-active products: in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",63
340120,Soap: in forms n.e.c. in item no. 3401.11,63
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap",63
340211,"Organic surface-active agents: anionic (other than soap), whether or not put up for retail sale",22
340212,"Organic surface-active agents: cationic (other than soap), whether or not put up for retail sale",22
340213,"Organic surface-active agents: non-ionic (other than soap), whether or not put up for retail sale",22
340219,"Organic surface-active agents: whether or not put up for retail sale, n.e.c. in heading no. 3402",22
340220,"Washing and cleaning preparations: surface-active, whether or not containing soap (excluding those of heading no. 3401), put up for retail sale",63
340290,"Washing and cleaning preparations: surface-active, whether or not containing soap (excluding those of heading no. 3401), including auxiliary washing preparations, not for retail sale",22
340311,"Lubricating preparations: for the treatment of textile and similar materials (leather, furskins etc), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals",322
340319,"Lubricating preparations: (other than for the treatment of textile and similar materials), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals",322
340391,"Lubricating preparations: for the treatment of textile and similar materials (leather, furskins etc), (not containing petroleum oils or oils obtained from bituminous minerals)",322
340399,"Lubricating preparations: other than for the treatment of textile and similar materials, not containing petroleum oils or oils obtained from bituminous minerals",322
340420,"Waxes: artificial and prepared, of poly(oxyethylene) (polyethylene glycol)",22
340490,"Waxes: artificial and prepared, other than of polyethylene glycol",22
340510,"Polishes, creams and similar preparations: for footwear or leather, excluding waxes of heading no. 3404",63
340520,"Polishes, creams and similar preparations: for the maintenance of wooden furniture, floors or other woodwork, excluding waxes of heading no. 3404",63
340530,"Polishes, creams and similar preparations: for coachwork, other than metal polishes, excluding waxes of heading no. 3404",63
340540,"Scouring pastes and powders and other scouring preparations: (whether or not in the form of paper, wadding, felt, nonwovens, cellular plastics, cellular rubber, impregnated, coated or covered)",63
340590,"Polishes, creams and similar preparations: n.e.c. in heading no. 3405, excluding waxes of heading no. 3404",63
340600,"Candles, tapers and the like",63
340700,"Modelling pastes: preparations known as dental wax, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms, other preparations for use in dentistry",22
350110,Casein,22
350190,Caseinates and other casein derivatives: casein glues,22
350211,"Albumins: egg albumin, dried",111
350219,"Albumins: egg albumin, not dried",111
350220,"Albumins: milk albumin, including concentrates of two or more whey proteins",22
350290,"Albumins, albuminates and other albumin derivatives: other than egg or milk albumin, including concentrates of two or more whey proteins",22
350300,"Gelatin (including gelatin in rectangular sheets, whether or not surface-worked or coloured) and gelatin derivatives: isinglass: other glues of animal origin, excluding casein glues of heading no. 3501",22
350400,"Peptones and their derivatives: other protein substances and their derivatives n.e.c. or included, hide powder, whether or not chromed",22
350510,Dextrins and other modified starches,22
350520,"Glues: based on starches, or on dextrins or other modified starches",22
350610,"Glues or adhesives: prepared, products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1kg",63
350691,"Adhesives: prepared, based on polymers of heading 3901 to 3913 or on rubber",22
350699,"Glues and other adhesives: prepared, n.e.c. in heading no. 3506, not exceeding a net weight of 1kg",22
350710,Enzymes: rennet and concentrates thereof,121
350790,Enzymes and prepared enzymes: other than rennet and concentrates thereof,22
360100,Explosives: propellent powders,22
360200,"Explosives, prepared: other than propellent powders",22
360300,"Fuses and detonators: safety or detonating fuses, percussion or detonating caps, igniters, electric detonators",22
360410,Pyrotechnic products: fireworks,22
360490,"Pyrotechnic products: signalling flares, rain rockets, fog signals and other pyrotechnic articles (excluding fireworks)",22
360500,Matches: other than pyrotechnic articles of heading no. 3604,63
360610,"Fuels: liquid or liquefied-gas, in containers, of a kind used for filling or refilling cigarette or similar lighters, (of a capacity not exceeding 300cm3)",63
360690,Ferro-cerium and other pyrophoric alloys in all forms: articles of combustible materials n.e.c. in chapter 36,22
370110,"Photographic plates and film: for x-ray, in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles",22
370120,"Photographic plates and film: instant print film, in the flat, sensitised, unexposed, whether or not in packs",22
370130,"Photographic plates and film: in the flat, sensitised, unexposed, with any side exceeding 225mm, of any materials other than paper, paperboard or textiles",22
370191,"Photographic plates and film: for colour photography (polychrome), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles",22
370199,"Photographic plates and film: (for other than colour photography), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles",22
370210,"Photographic film: for x-rays, in rolls, sensitised and unexposed (other than of paper, paperboard or textiles)",22
370231,"Photographic film: for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)",22
370232,"Photographic film: in rolls, with silver halide emulsion, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)",22
370239,"Photographic film: in rolls, (other than with silver halide emulsion and for colour photography), sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)",22
370241,"Photographic film: for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m (other than of paper, paperboard or textiles)",22
370242,"Photographic film: in rolls, (other than for colour photography), sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m (other than of paper, paperboard or textiles)",22
370243,"Photographic film: in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length not exceeding 200m (other than of paper, paperboard or textiles)",22
370244,"Photographic film: in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 105mm but not exceeding 610mm (other than of paper, paperboard or textiles)",22
370252,"Photographic film: for colour photography (polychrome), in rolls, sensitised, unexposed, of a width not exceeding 16mm (other than of paper, paperboard or textiles)",63
370253,"Photographic film: for colour photography (polychrome) slides, in rolls, sensitised, unexposed, of a width exceeding 16mm but not exceeding 35mm and of a length not exceeding 30m (other than of paper, paperboard or textiles)",63
370254,"Photographic film: for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 16mm but not 35mm and of a length not exceeding 30m, excluding film for slides (other than of paper, paperboard or textiles)",63
370255,"Photographic film: for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 16mm but not 35mm and of a length exceeding 30m (other than of paper, paperboard or textiles)",22
370256,"Photographic film: for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 35mm (other than of paper, paperboard or textiles)",22
370296,"Photographic film: other than for colour photography, in rolls, sensitised, unexposed, of a width not exceeding 35mm and of a length not exceeding 30m (other than of paper, paperboard or textiles)",63
370297,"Photographic film: other than for colour photography, in rolls, sensitised, unexposed, of a width not exceeding 35mm and of a length exceeding 30m (other than paper, paperboard or textiles)",22
370298,"Photographic film: other than for colour photography, in rolls, sensitised, unexposed, of a width exceeding 35mm (other than of paper, paperboard or textiles)",22
370310,"Photographic paper, paperboard and textiles: in rolls, sensitised, unexposed, of a width exceeding 610mm",22
370320,"Photographic paper, paperboard and textiles: for colour photography (polychrome), (other than in rolls of a width exceeding 610mm), sensitised, unexposed",22
370390,"Photographic paper, paperboard and textiles: (for other than colour photography, other than in rolls of a width exceeding 610mm), sensitised, unexposed",22
370400,"Photographic plates, film, paper, paperboard and textiles: exposed but not developed",22
370500,"Photographic plates and film: exposed and developed, other than cinematographic film",22
370610,"Cinematographic film: exposed and developed, whether or not incorporating sound track or consisting only of sound track, of a width of 35cm or more",22
370690,"Cinematographic film: exposed and developed, whether or not incorporating a sound track or consisting only of sound track, of a width less than 35mm",22
370710,"Photographic goods: sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",22
370790,"Photographic goods: chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",22
380110,Graphite: artificial,22
380120,Graphite: colloidal or semi-colloidal,22
380130,Carbonaceous pastes: for electrodes and similar pastes for furnace linings,22
380190,"Graphite or other carbon based preparations: in the form of pastes, blocks, plates or other semi-manufactures",22
380210,Carbon: activated,22
380290,"Chemical products: activated natural mineral products, animal black, including spent animal black",22
380300,"Chemical products: tall oil, whether or not refined",22
380400,"Lyes, residual: from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates but excluding tall oil of heading no. 3803",22
380510,"Terpenic oils: gum, wood or sulphate turpentine oils",22
380590,"Terpenic oils: produced by the treatment of coniferous woods, crude dipentene, sulphite turpentine and other crude para-cymene, n.e.c. in heading no. 3805",22
380610,Rosin and resin acids,22
380620,"Rosin and resin: salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts",22
380630,Ester gums,22
380690,"Rosin: spirit and oils, n.e.c. in heading no. 3806",22
380700,"Wood tar: wood tar oils: wood creosote: wood naphtha: vegetable pitch: brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch",22
380852,"Insecticides and the like: containing goods specified in Subheading Note 1 to this Chapter: for retail sale or as preparations or articles: DDT (ISO) (clofenotane (INN)), in packings of 300g or less",63
380859,"Insecticides, rodenticides, fungicides, disinfectants, herbicides and the like: containing goods specified in Subheading Note 1 to this Chapter: not DDT (ISO) (clofenotane (INN)), put up in forms or packings for retail sale or as preparations or articles",63
380861,Insecticides and the like: containing goods specified in Subheading Note 2 to this Chapter: in packings of a net weight content not exceeding 300g: for retail sale or as preparations or articles,63
380862,"Insecticides: containing goods specified in Subheading Note 2 to this Chapter: put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 300g but not exceeding 7.5kg",63
380869,"Insecticides: containing goods named in Subheading Note 2 to this Chapter, put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 7.5kg",63
380891,Insecticides: other than containing goods specified in Subheading Notes 1 & 2 to this Chapter: put up in forms or packings for retail sale or as preparations or articles,63
380892,Fungicides: other than containing goods specified in Subheading Note 1 to this Chapter: put up in forms or packings for retail sale or as preparations or articles,63
380893,"Herbicides, anti-sprouting products and plant-growth regulators: other than containing goods of Subheading Note 1 to this Chapter: put up in forms or packings for retail sale or as preparations or articles",63
380894,Disinfectants: other than containing goods specified in Subheading Note 1 in this Chapter: put up in forms or packings for retail sale or as preparations or articles,63
380899,"Rodenticides and other similar products n.e.c. in heading no. 3808.9: other than containing goods specified in Subheading Note 1 in this Chapter, put up in forms or packings for retail sale or as preparations or articles",63
380910,"Finishing agents and dye carriers: to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in textile, paper, leather etc industries, with basis of amylaceous substances, n.e.c.",22
380991,"Finishing agents and dye carriers: to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the textile industry (excluding those with a basis of amylaceous substances)",22
380992,"Finishing agents and dye carriers: to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the paper industry (excluding those with a basis of amylaceous substances)",22
380993,"Finishing agents and dye carriers: to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the leather or like (excluding paper and textile) industries, (excluding those with a basis of amylaceous substances)",22
381010,"Pickling preparations for metal surfaces: soldering, brazing or welding powders and pastes consisting of metal and other materials",22
381090,"Fluxes and other auxiliary preparations: for soldering, brazing or welding, or preparations used as cores or coatings for welding electrodes or rods",22
381111,Anti-knock preparations: based on lead compounds,22
381119,Anti-knock preparations: other than those based on lead compounds,22
381121,Lubricating oil additives: containing petroleum oils or oils obtained from bituminous minerals,22
381129,Lubricating oil additives: not containing petroleum oils or oils obtained from bituminous minerals,22
381190,"Oxidation and gum inhibitors, viscosity improvers, anti-corrosive preparations, other prepared additives for mineral oils or liquids used as mineral oils (including gasoline), n.e.c. in heading no. 3811",22
381210,Rubber accelerators: prepared,22
381220,"Plasticisers, compound: for rubber or plastics",22
381231,"Anti-oxidising preparations and other compound stabilisers: for rubber or plastics, mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (TMQ)",22
381239,"Anti-oxidising preparations and other compound stabilisers: for rubber or plastics, other than mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (TMQ)",22
381300,Fire-extinguishers: preparations and charges and charged fire-extinguishing grenades,22
381400,"Solvents and thinners: organic composite solvents and thinners, n.e.c. or included, prepared paint or varnish removers",22
381511,"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with nickel or nickel compounds as the active substance, n.e.c. or included",22
381512,"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with precious metal or precious metal compounds as the active substance, n.e.c. or included",22
381519,"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with an active substance other than nickel or precious metals or their compounds, n.e.c. or included",22
381590,"Reaction initiators, reaction accelerators and catalytic preparations, unsupported, n.e.c. or included",22
381600,"Refractory cements, mortars, concretes and similar compositions: other than products of heading no. 3801",22
381700,"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading no. 2707 or 2902",22
381800,"Chemical elements: doped for use in electronics, in the form of discs, wafers or similar forms: chemical compounds doped for use in electronics",22
381900,"Hydraulic fluids: for brakes and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals",22
382000,Anti-freezing preparations and prepared de-icing fluids,22
382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",22
382200,"Reagents: diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006: certified reference material",22
382311,"Industrial monocarboxylic fatty acids, acid oils from refining: stearic acid",22
382312,"Industrial monocarboxylic fatty acids, acid oils from refining: oleic acid",22
382313,"Industrial monocarboxylic fatty acids, acid oils from refining: tall oil fatty acids",22
382319,"Industrial monocarboxylic fatty acids: acid oils from refining: (other than stearic acid, oleic acid or tall oil fatty acids)",22
382370,Industrial fatty alcohols,22
382410,"Binders, prepared: for foundry moulds or cores",22
382430,"Metal carbides, non-agglomerated: mixed together or with metallic binders",22
382440,"Cements, mortars or concretes: their prepared additives",22
382450,Mortars and concretes: non-refractory,22
382460,Sorbitol: other than that of subheading no. 2905.44,22
382471,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing chlorofluorocarbons (CFCs), whether or not containing hydrochlorofluorocarbons (HCFCs), perfluorocarbons (PFCs) or hydrofluorocarbons (HFCs)",22
382472,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing bromochlorodifluoromethane, bromotrifluoromethane or dibromotetrafluoroethanes",22
382473,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing hydrobromofluorocarbons (HBFCs)",22
382474,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing hydrochlorofluorocarbons (HCFCs), whether or not containing perfluorocarbons (PFCs) or hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs)",22
382475,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing carbon tetrachloride",22
382476,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing 1,1,1-trichloroethane (methyl chloroform)",22
382477,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing bromomethane (methyl bromide) or bromochloromethane",22
382478,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing perfluorocarbons (PFCs) or hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs)",22
382479,"Mixtures containing halogenated derivatives of methane, ethane or propane: n.e.c. in item no. 3827.7",22
382481,"Chemical products, mixtures and preparations: containing goods specified in Subheading Note 3 to this Chapter: containing oxirane (ethylene oxide)",22
382482,"Chemical products, mixtures and preparations: containing goods specified in Subheading Note 3 to this Chapter: containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)",22
382483,"Chemical products, mixtures and preparations: containing goods specified in Subheading Note 3 to this Chapter: containing tris(2,3-dibromopropyl) phosphate",22
382484,"Chemical products, mixtures and preparations: containing aldrin, camphechlor (toxaphene), chlordane, chlordecone, DDT (chlorfenotane, 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane), dieldrin, endosulfan, endrin, heptachlor or mirex",22
382485,"Chemical products, mixtures and preparations: containing goods specified in Subheading Note 3 to this Chapter: containing 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)",22
382486,"Chemical products, mixtures and preparations: containing goods specified in Subheading Note 3 to this Chapter: containing pentachlorobenzene (ISO), or hexachlorobenzene (ISO)",22
382487,"Chemical products, mixtures and preparations: containing goods specified in Subheading Note 3 to this Chapter: containing perfluorooctane sulphonic acid, its salts, perfluorooctane sulphonamides, or perfluorooctane sulphonyl fluoride",22
382488,"Chemical products, mixtures and preparations: containing goods specified in Subheading Note 3 to this Chapter: containing tetra-, penta-, hexa-, hepta- or octabromodiphenyl ethers",22
382491,"Chemical products, mixtures and preparations: consisting mainly of (5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methylphosphonate and bis[(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl] methylphosphonate",22
382499,"Chemical products, mixtures and preparations: n.e.c. heading 3824",22
382510,"Residual products of the chemical or allied industries, not elsewhere specified or included: municipal waste",21
382520,"Residual products of the chemical or allied industries, not elsewhere specified or included: sewage sludge",21
382530,"Residual products of the chemical or allied industries, not elsewhere specified or included: clinical waste",21
382541,"Residual products of the chemical or allied industries, not elsewhere specified or included: halogenated waste organic solvents",21
382549,"Residual products of the chemical or allied industries, not elsewhere specified or included: waste organic solvents, other than halogenated",21
382550,"Residual products of chemical or allied industries, not elsewhere specified or included: wastes of metal pickling liquors, hydraulic fluids, brake fluids and anti-freeze fluids",21
382561,"Residual products of the chemical or allied industries, not elsewhere specified or included: (other than sewage sludge, municipal waste or waste covered in 27.10): other wastes n.e.c. in 3825: those mainly containing organic constituents",21
382569,"Residual products of the chemical or allied industries, not elsewhere specified or included: (other than sewage sludge, municipal waste or waste covered by 27.10): other wastes n.e.c. in 3825: except those mainly containing organic constituents",21
382590,"Residual products of the chemical or allied industries, not elsewhere specified or included: n.e.c. in 3825 or 27.10",21
382600,Biodiesel and mixtures thereof: not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals,22
390110,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of less than 0.94",22
390120,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of 0.94 or more",22
390130,"Ethylene polymers: in primary forms, ethylene-vinyl acetate copolymers",22
390140,"Ethylene polymers: in primary forms, ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",22
390190,"Ethylene polymers: in primary forms, n.e.c. in heading no. 3901",22
390210,"Propylene, other olefin polymers: polypropylene in primary forms",22
390220,"Propylene, other olefin polymers: polyisobutylene in primary forms",22
390230,"Propylene, other olefin polymers: propylene copolymers in primary forms",22
390290,"Propylene, other olefin polymers: n.e.c. in heading no. 3902, in primary forms",22
390311,"Styrene polymers: expansible polystyrene, in primary forms",22
390319,"Styrene polymers: (other than expansible polystyrene), in primary forms",22
390320,"Styrene polymers: styrene-acrylonitrile (SAN) copolymers, in primary forms",22
390330,"Styrene polymers: acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",22
390390,"Styrene polymers: in primary forms, n.e.c. in heading no. 3903",22
390410,"Vinyl chloride, other halogenated olefin polymers: poly(vinyl chloride), not mixed with any other substances, in primary forms",22
390421,"Vinyl chloride, other halogenated olefin polymers: non-plasticised poly(vinyl chloride), in primary forms, mixed with other substances",22
390422,"Vinyl chloride, other halogenated olefin polymers: plasticised poly(vinyl chloride), in primary forms, mixed with other substances",22
390430,"Vinyl chloride, other halogenated olefin polymers: vinyl chloride-vinyl acetate copolymers, in primary forms",22
390440,"Vinyl chloride, other halogenated olefin polymers: vinyl chloride copolymers, in primary forms n.e.c. in heading no. 3904",22
390450,"Vinyl chloride, other halogenated olefin polymers: vinylidene chloride polymers, in primary forms",22
390461,"Halogenated olefin polymers: fluoro-polymers, polytetrafluoroethylene, in primary forms",22
390469,"Halogenated olefin polymers: fluoro-polymers (other than polytetrafluoroethylene), in primary forms",22
390490,"Vinyl chloride, other halogenated olefin polymers: n.e.c. in heading no. 3904",22
390512,"Poly(vinyl acetate): in aqueous dispersion, in primary forms",22
390519,"Poly(vinyl acetate): (other than in aqueous dispersion), in primary forms",22
390521,"Vinyl acetate copolymers: in aqueous dispersion, in primary forms",22
390529,"Vinyl acetate copolymers: (other than in aqueous dispersion), in primary forms",22
390530,Poly(vinyl alcohol): whether or not containing unhydrolysed acetate groups,22
390591,"Vinyl acetate, vinyl ester polymers, vinyl polymers: n.e.c. in heading no. 3905, in primary forms, copolymers",22
390599,"Vinyl acetate, vinyl ester polymers, vinyl polymers: n.e.c. in heading no. 3905, in primary forms, other than copolymers",22
390610,"Acrylic polymers: poly(methyl methacrylate), in primary forms",22
390690,"Acrylic polymers: (other than polymethyl methacrylate), in primary forms",22
390710,Polyacetals: in primary forms,22
390720,"Polyethers: in primary forms, excluding polyacetals",22
390730,Epoxide resins: in primary forms,22
390740,Polycarbonates: in primary forms,22
390750,Alkyd resins: in primary forms,22
390761,"Poly(ethylene terephthalate): in primary forms, having a viscosity of 78ml/g or higher",22
390769,"Poly(ethylene terephthalate): in primary forms, having a viscosity of less than 78ml/g",22
390770,Poly(lactic acid): in primary forms,22
390791,"Polyesters: n.e.c. in heading no. 3907, unsaturated, in primary forms",22
390799,"Polyesters: n.e.c. in heading no. 3907, saturated, in primary forms",22
390810,"Polyamides: polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",22
390890,"Polyamides: n.e.c. in heading no. 3908, in primary forms",22
390910,"Amino-resins: urea and thiourea resins, in primary forms",22
390920,"Amino-resins: melamine resins, in primary forms",22
390931,"Amino-resins: n.e.c. in heading no. 3909, in primary forms, poly(methylene phenyl isocyanate) (Crude MDI, polymeric MDI)",22
