Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","0.49","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5610","Import Quantity","4001","Urea","2018","2018","tonnes","0.6","X","International reliable sources"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5610","Import Quantity","4001","Urea","2019","2019","tonnes","22.52","X","International reliable sources"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5622","Import Value","4001","Urea","2018","2018","1000 US$","0.26","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5622","Import Value","4001","Urea","2019","2019","1000 US$","18.51","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","280617.89","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","284637.36","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4022","Diammonium phosphate (DAP)","2018","2018","1000 US$","124283.99","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4022","Diammonium phosphate (DAP)","2019","2019","1000 US$","112065.64","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","271150","*","Unofficial figure"
"RFB","Fertilizers by Product","9","Argentina","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","290916","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4011","Phosphate rock","2018","2018","tonnes","250712.83","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4011","Phosphate rock","2019","2019","tonnes","334958.22","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4011","Phosphate rock","2018","2018","1000 US$","18868.34","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4011","Phosphate rock","2019","2019","1000 US$","24814.96","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","68759.76","X","International reliable sources"
"RFB","Fertilizers by Product","9","Argentina","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","61206.58","X","International reliable sources"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","23371.68","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","1000 US$","22983.32","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","0.09","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","1.14","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","1.48","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","1000 US$","5.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","9","Argentina","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","27614","*","Unofficial figure"
