Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3104","Nutrient potash K2O (total)","2017","2017","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3104","Nutrient potash K2O (total)","2018","2018","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3104","Nutrient potash K2O (total)","2019","2019","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3104","Nutrient potash K2O (total)","2017","2017","tonnes","1541.61","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3104","Nutrient potash K2O (total)","2018","2018","tonnes","2317.4","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3104","Nutrient potash K2O (total)","2019","2019","tonnes","3588.35","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3104","Nutrient potash K2O (total)","2017","2017","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3104","Nutrient potash K2O (total)","2018","2018","tonnes","16.71","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3104","Nutrient potash K2O (total)","2019","2019","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","634.25","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2018","2018","tonnes","2579.38","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","4190.61","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","1043200","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","1043200","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","1043200","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","34873.93","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","72756.36","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","50570.58","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","706437.07","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","1442946.86","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","1257722.46","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","70200","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","70200","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","70200","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","32400","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","32400","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5510","Production","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","32400","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","30603.83","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","37237.2","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","50370.83","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","0","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","2760","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","4","Algeria","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","3012.91","Fc","Calculated data"
